name,state,state_code,type,population,website,total_schools,total_students,mailing_address,grade_span,locale,csa_cbsa,domain_name,physical_address,phone,status,student_teacher_ratio,supervisory_union,county,created_at,updated_at,id
City of Everett,Washington,WA,City,111083,https://www.everettwa.gov,,,,,,,,,,,,,Snohomish County,2025-11-08 11:02:07.077989+00,2025-11-08 11:02:07.077992+00,00526332-fc4b-493f-af37-b3d861246551
Miami County,Ohio,OH,County,109549,https://www.co.miami.oh.us,,,,,,,,,,,,,,2025-11-08 10:58:14.227114+00,2025-11-08 10:58:14.227117+00,00609d42-b1d2-48a0-808e-b833209058a6
Livingston County,Michigan,MI,County,195143,https://milivcounty.gov/,,,,,,,,,,,,,,2025-11-08 10:54:03.487319+00,2025-11-08 10:54:03.487321+00,0177445d-b027-46c3-a3de-96ffce157179
Boone County,Kentucky,KY,County,137676,https://boonecountyky.org/,,,,,,,,,,,,,,2025-11-08 10:53:25.184428+00,2025-11-08 10:53:25.184431+00,018abba8-d973-4d28-a48c-bf3d5d470a61
St. Clair County,Illinois,IL,County,254777,https://www.stclaircountyil.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.627911+00,2025-11-08 10:51:14.627914+00,019278af-dee8-40d9-bc2a-0e4158557f3d
Hidalgo County,Texas,TX,County,880921,https://www.hidalgocounty.us,,,,,,,,,,,,,,2025-11-08 11:00:48.738148+00,2025-11-08 11:00:48.738151+00,021e82ca-1415-434f-b5d5-cad52646c8b8
City of Billings,Montana,MT,City,118321,http://billingsmt.gov,,,,,,,,,,,,,Yellowstone County,2025-11-08 10:55:17.084684+00,2025-11-08 10:55:17.084687+00,02bef4d4-1a10-420d-8fa3-0617b1dea4c3
City of Glendale,California,CA,City,192270,https://www.glendaleca.gov,,,,,,,,,,,,,Los Angeles County,2025-11-08 10:49:05.031693+00,2025-11-08 10:49:05.031696+00,0302a4cc-375e-4102-9cb6-9e3003df55bc
City of Mesa,Arizona,AZ,City,507478,https://www.mesaaz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.679237+00,2025-11-08 10:48:29.67924+00,0303d05b-af57-48bf-8229-ab05e1dc61a8
City of Carlsbad,California,CA,City,114500,https://www.carlsbadca.gov,,,,,,,,,,,,,San Diego County,2025-11-08 10:49:05.03112+00,2025-11-08 10:49:05.031123+00,031ec4b9-5bc3-436a-af4c-a8fab387e8b6
City of Lancaster,California,CA,City,170013,https://www.cityoflancasterca.org,,,,,,,,,,,,,Los Angeles County,2025-11-08 10:49:05.030424+00,2025-11-08 10:49:05.030427+00,032c1b73-7f17-43d3-8590-187354bc7581
City of Tampa,Florida,FL,City,393389,https://www.tampa.gov,,,,,,,,,,,,,Hillsborough County,2025-11-08 10:49:43.733196+00,2025-11-08 10:49:43.733199+00,0464c5cd-399d-4d55-9ac5-36d07225b337
Winnebago County,Illinois,IL,County,283289,https://wincoil.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.627263+00,2025-11-08 10:51:14.627265+00,04f5b8e8-8ae0-4cdf-ac2d-83fac2affb65
Harris County,Texas,TX,County,4758579,https://www.harriscountytx.gov,,,,,,,,,,,,,,2025-11-08 11:00:48.741333+00,2025-11-08 11:00:48.741336+00,05027cd1-ca53-4905-ac6b-5a4dfa2ebac1
Cobb County,Georgia,GA,County,769152,https://www.cobbcounty.gov,,,,,,,,,,,,,,2025-11-08 10:50:28.453+00,2025-11-08 10:50:28.453003+00,05111d82-f84d-4bba-91bf-356f16062bbb
Greater Bridgeport Planning Region,Connecticut,CT,County,326296,https://ctmetro.org/,,,,,,,,,,,,,,2025-11-08 10:49:43.719744+00,2025-11-08 10:49:43.719747+00,05d3b665-57af-4cfd-a090-f43c76d05e87
